"GitHub Issue","Number","GUID","Output Type","Label","Dimension","Line #","Input Fields","Output Fields","Response.Status","Response.Result","Comment","Explanation"
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",1,"dwc:countryCode=""""",,"INTERNAL_PREREQUISITES_NOT_MET",,"dwc:countryCode is EMPTY",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",2,"dwc:countryCode=""GL""",,"RUN_HAS_RESULT","COMPLIANT","dwc:countryCode is a valid ISO (ISO 3166-1-alpha-2 country codes) value",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",3,"dwc:countryCode=""GRL""",,"RUN_HAS_RESULT","NOT_COMPLIANT","dwc:countryCode is NOT a valid ISO (ISO 3166-1-alpha-2 country codes) value ",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",4,"dwc:countryCode=""XX""",,"RUN_HAS_RESULT","NOT_COMPLIANT","dwc:countryCode is NOT a valid ISO (ISO 3166-1-alpha-2 country codes) value ",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",5,"dwc:countryCode=""Austria""",,"RUN_HAS_RESULT","NOT_COMPLIANT","dwc:countryCode is NOT a valid ISO (ISO 3166-1-alpha-2 country codes) value ",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",6,"dwc:countryCode=""US""",,"RUN_HAS_RESULT","COMPLIANT","dwc countryCode is a valid ISO (ISO 3166-1-alpha-2 country codes) value",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",7,"dwc:countryCode=""CL""",,"RUN_HAS_RESULT","COMPLIANT","dwc countryCode is a valid ISO (ISO 3166-1-alpha-2 country codes) value",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",8,"dwc:countryCode=""AR""",,"RUN_HAS_RESULT","COMPLIANT","dwc countryCode is a valid ISO (ISO 3166-1-alpha-2 country codes) value",
"https://github.com/tdwg/bdq/issues/20",20,"0493bcfb-652e-4d17-815b-b0cce0742fbe","VALIDATION","COUNTRYCODE_NOTSTANDARD","SPACE",9,"dwc:countryCode=""MX""",,"RUN_HAS_RESULT","COMPLIANT","dwc countryCode is a valid ISO (ISO 3166-1-alpha-2 country codes) value",
"https://github.com/tdwg/bdq/issues/21",21,"69b2efdc-6269-45a4-aecb-4cb99c2ae134","VALIDATION","COUNTRY_NOTSTANDARD","SPACE",1,"dwc:country=""""",,"INTERNAL_PREREQUISITES_NOT_MET",,"dwc:country is EMPTY",
"https://github.com/tdwg/bdq/issues/21",21,"69b2efdc-6269-45a4-aecb-4cb99c2ae134","VALIDATION","COUNTRY_NOTSTANDARD","SPACE",2,"dwc:country=""Eswatini""",,"RUN_HAS_RESULT","COMPLIANT","dwc:country is a valid country name according to The Getty Thesaurus of Geographic Names (2021-03-30).",
"https://github.com/tdwg/bdq/issues/21",21,"69b2efdc-6269-45a4-aecb-4cb99c2ae134","VALIDATION","COUNTRY_NOTSTANDARD","SPACE",3,"dwc:country=""Swaziland""",,"RUN_HAS_RESULT","NOT_COMPLIANT","Eswatini is the preferred name according to The Getty Thesaurus of Geographic Names (2021-03-30).",
"https://github.com/tdwg/bdq/issues/21",21,"69b2efdc-6269-45a4-aecb-4cb99c2ae134","VALIDATION","COUNTRY_NOTSTANDARD","SPACE",4,"dwc:country=""Yugoslavia""",,"RUN_HAS_RESULT","COMPLIANT","Yugoslavia is the preferred name according to The Getty Thesaurus of Geographic Names (2021-03-30).",
"https://github.com/tdwg/bdq/issues/21",21,"69b2efdc-6269-45a4-aecb-4cb99c2ae134","VALIDATION","COUNTRY_NOTSTANDARD","SPACE",5,"dwc:country=""Congo""",,"RUN_HAS_RESULT","NOT_COMPLIANT","Congo could be Republic of the Congo or Democratic Republic of the Congo.",
